Month,"Consolidated Portfolio
Value (`)","Change
(`)","Change
(%)"
FEB 2017,"21,23,862.40",NA,NA
MAR 2017,"21,65,580.70",+41718.30,+1.96
APR 2017,"21,71,340.50",+5759.80,+0.27
MAY 2017,"21,70,175.06",-1165.44,-0.05
JUN 2017,"20,55,327.87",-114847.19,-5.29
JUL 2017,"21,84,607.27",+129279.40,+6.29
AUG 2017,"21,13,987.23",-70620.04,-3.23
SEP 2017,"20,75,260.14",-38727.09,-1.83
OCT 2017,"22,02,544.91",+127284.77,+6.13
NOV 2017,"22,44,941.53",+42396.62,+1.92
DEC 2017,"22,75,124.07",+30182.54,+1.34
JAN 2018 *,"22,78,702.56",+3578.49,+0.16
FEB 2018,"20,33,260.44",-245442.12,-10.77
,,,,
